ad_index,ad_id,ad_product,domain,subdomain,vague_query,product_id,user_search_query,ad_title,ad_description,url,seller,brand,label,image_id
0,6511,Spad XIII French,Collectibles & Hobbies,Model Airplanes,Where can I find high-quality replicas of historical military aircraft?,2634449,spad,Spad XIII French,"Are you one of the legions of aircraft enthusiasts who are impassioned with the first generation of military airplanes? If that sounds like you, this sophisticated scale replica of the SPAD S.XIII is sure to light your fire. Though the WWI French biplane fighter was piloted by such notable aviators as the legendary Eddie Rickenbacker, this miniature model pays tribute to Georges Guynemer, one of France's top aces during the Great War. While its stunningly accurate, first-rate paint job is certainly impressive, the plane's meticulous recreation of the SPAD S.XIII runs much deeper. Just take a look at its 8-cylinder Hispano-Suiza 8Be engine, its two-blade wooden scimitar prop, its interplane struts & bracing, and its old-school main landing gear and you'll notice 100% spot-on accuracy from tip to tail. Makes a fantastic gift for a hard-core airplane aficionado, as well as a top-notch aeronautical adornment for the home or office. The pinnacle of aviation history - recreated for your viewing pleasure.",simpshopifyapps.com,Pilot Mall,Authentic Models,0,[IMG_CATEID_3131]
1,3219024,Bausch + Lomb Biotrue Multi-Purpose Solution - 4 fl oz,Health & Personal Care,Contact Lens Care,What are some effective solutions for keeping contact lenses clean and comfortable?,1588292,e1796 bausch %26 lomb,Bausch + Lomb Biotrue Multi-Purpose Solution - 4 fl oz,"Inspired by The Biology of Your Eyes- Works like your eyes pH balanced to match healthy tears Cleans and fights germs Conditions, cleans, removes protein, disinfects, rinses, stores, for soft contact lenss including silicone hydrogel lenses. Free lense case included Wearing contact lenses, especially in a world of less sleep and more computer use, makes it more challenging for eyes to stay comfortable and healthy. To care for your lenses and your eyes, a lens care solution that works like your",google.com,Google Express,Bausch + Lomb,0,[IMG_CATEID_3465]
2,218399,"Sony PlayStation 4 VR, Astro BOT Rescue Mission + Moss Bundle, Black, 3003468, White",Electronics,Gaming Consoles & Accessories,What are some family-friendly virtual reality gaming options available?,3285600,ps4 used amazon,"Sony PlayStation 4 VR, Astro BOT Rescue Mission + Moss Bundle, Black, 3003468, White",VR gaming fun for the whole family. Color: White.,walmart.com,Walmart,Sony,0,[IMG_CATEID_397]
3,147690,"Massel 7's, Vegan Bouillon Stock Cubes - Gluten-Free, Vegetable Broth Flavour - 35g, Pack of 30 Soup Stock",Food & Beverage,Cooking Ingredients,What are some healthy options for enhancing the flavor of my meals without using artificial additives?,4688264,vegetable bouillon cubes,"Massel 7's, Vegan Bouillon Stock Cubes - Gluten-Free, Vegetable Broth Flavour - 35g, Pack of 30 Soup Stock","QUALITY VEGETABLE STOCK - Turn normal meals to delicious feasts with an all-natural, FODMAP Diet certified, vegetarian bouillon cube. HEALTHY NO MSG STOCK CUBE - Massel stock cubes are vegan, gluten-free and suitable for people with Coeliac Disease. The perfect soup enhancer for health-conscious people. INSTANT CONVENIENCE - We believe good food should be simple and readily available. However, most instant foods are filled with artificial flavours that are harmful to your health. At Massel, we don't use artificial additives, preservatives or MSG. ALL NATURAL INGREDIENTS - We don't use GMO ingredients. We do use only premium ingredients like the finest vegetables, herbs, extra virgin olive oil and pure sea salt from the Great Southern Ocean. INDUSTRY LEADER - Massel vegan meat style bouillons were revolutionary and they are still unrivalled in flavour. We pioneered all vegetable, gluten-free and lactose-free instant bouillons.",amazon.com,Amazon.com,Massel,0,[IMG_CATEID_1851]
4,890666,Sterling Silver 7mm Created Sapphire Ring with Diamonds,Jewelry,Rings,What should I consider when choosing a gemstone ring for a special occasion?,4539593,star sapphire rings,Sterling Silver 7mm Created Sapphire Ring with Diamonds,"Halo style created sapphire and diamond ring features one 7mm round created sapphire and .01 ct tw diamond accents. Polished sterling silver. Pair with matching necklace JJ650182BS and earrings JJ650167BS. Diamond details: 4 x 0.003 ct, .8mm, H color and I3 clarity.",joyjewelers.com,Joy Jewelers,Joy Jewelers,0,[IMG_CATEID_372]
5,4748263,Shutters by Design Shell Shutter Tieback With Lag Mount | Shutter Hardware | fh251,Home & Garden,Home Improvement,What are some stylish options for securing my outdoor shutters?,35467,lock shutter,Shutters by Design Shell Shutter Tieback With Lag Mount | Shutter Hardware | fh251,Shell Shutter Tieback With Lag Mount (Pair). Shutters by Design FH251 Shell Shutter Tieback With Lag Mount.,everesttech.net,The Mine,Shutters by Design,0,[IMG_CATEID_3289]
6,2528905,VTech DECT 6.0 2-pack Cordless Phone Handset System with Corded Phone Base,Electronics,Home Communication Devices,What are some good options for a reliable home phone system with both cordless and corded features?,2963685,home phones for sale,VTech DECT 6.0 2-pack Cordless Phone Handset System with Corded Phone Base,"VTech DECT 6.0 2-pack Cordless Phone Handset System with Corded Phone Base Want a reliable home phone system? This reliable VTech DECT 6.0 system gives you the freedom and mobility of dual cordless handsets, along with a corded phone base. It's expandable to up to five handsets - ideal for your home, office or home office. What You Get 2 Cordless handsets 2 Rechargeable batteries Base unit with wall mount adapter 2 Charging cradles 2 AC adapters Telephone line cord User manual Manufacturer's 1-year limited warranty Good to Know",hsn.com,HSN,VTech,1,[IMG_CATEID_670]
7,3444547,May the Road Rise Quote Necklace,Jewelry,Inspirational Jewelry,What are some meaningful gift ideas for someone who appreciates inspirational quotes?,231825,jewry store molton al,May the Road Rise Quote Necklace,May The Road Rise To Meet You Pendant Necklace DVB Inspirational Jewelry,thegivingtreegallery.com,The Giving Tree Gallery,DVB,0,[IMG_CATEID_2880]
8,1144879,(Actual: 8-Ft X 6-Ft) Natural Wood No Dig Privacy Bamboo Fencing Roll,Home & Garden,Outdoor Decor,How can I create a tropical feel in my backyard with sustainable materials?,2706141,wood fence panels,(Actual: 8-Ft X 6-Ft) Natural Wood No Dig Privacy Bamboo Fencing Roll,Bamboo fencing is just what you need to bring the tropics home both indoors and outside. This versatile bamboo fencing roll is perfect as an indoor barrier and room dividers or for covering a wall ceiling or window. To use bamboo fencing outside build a tropical outdoor structure like a tiki bar fence or border by attaching multiple bamboo panels for an authentic exotic look. Natural aesthetic beauty regenerative characteristics and durability. Naturally processed for longevity. Connected by heavy gauge galvanized wire. Termite-resistant panels.,lowes.com,Lowe's,Backyard X-Scapes,0,[IMG_CATEID_2335]
9,2687557,How to Babysit a Grandma and a Grandpa boxed set,Books & Media,Children's Books,What are some fun books for kids to read with their grandparents?,3501987,how to babysit a grandpa,How to Babysit a Grandma and a Grandpa boxed set,Get ready to entertain the grandma and grandpa in your life with this cheerful two-book boxed set featuring the New York Times bestselling titles How to Babysit a Grandma and How to Babysit a Grandpa Gender: unisex.,walmart.com,Walmart,Jean Reagan,0,[IMG_CATEID_4277]
