ad_id,domain,category,product,ad_key_words,ad_description,ad_benefits
1,Consumer Goods and Retails,Electronics,EchoAir Earbuds,"['wireless', 'noise-cancelling', 'high-fidelity', 'Bluetooth', 'comfort']","Experience sound like never before with EchoAir Earbuds, combining cutting-edge technology with unmatched comfort.","['Wireless Bluetooth connectivity for seamless audio streaming.', 'Advanced noise-cancelling technology for immersive listening.', 'High-fidelity sound quality for crystal clear audio.', 'Ergonomic design ensures all-day comfort.', 'Long-lasting battery life for extended playtime.']"
2,Consumer Goods and Retails,Electronics,QuantumPulse Smartwatch,"['Smartwatch', 'Health Monitor', 'Connectivity', 'Style']",Introducing the QuantumPulse Smartwatch - a perfect blend of technology and style.,"['Monitor your health with precision sensors.', 'Stay connected with seamless notifications.', 'Customizable watch faces to match your mood.', 'Long-lasting battery life for all-day use.']"
3,Consumer Goods and Retails,Electronics,VoltCharger Pro,"['Fast Charging', 'Portable', 'Universal Compatibility', 'Smart Technology']","Experience lightning-fast charging with the VoltCharger Pro, designed to power up all your devices with ease.","['High-speed charging for multiple devices.', 'Compact and travel-friendly design.', 'Compatible with a wide range of devices.', 'Smart technology prevents overcharging.', 'Durable and long-lasting build.']"
4,Consumer Goods and Retails,Electronics,ApertureAce Camera,"['Photography', 'High-Resolution', 'Versatile', 'Compact']","Capture stunning, high-resolution images with the versatile ApertureAce Camera, perfect for photographers of all levels.","['High-resolution sensor for crisp, clear images.', 'Compact and lightweight design for easy portability.', 'Versatile functionality with multiple shooting modes.', 'Compatible with a wide range of lenses.', 'User-friendly interface for seamless operation.']"
5,Consumer Goods and Retails,Electronics,SonicEcho Speaker,"['wireless', 'high-fidelity', 'portable', 'Bluetooth', 'immersive']","Experience immersive sound with the SonicEcho Speaker, delivering high-fidelity audio in a sleek, portable design.","['Wireless connectivity for seamless streaming', 'Compact and portable design', 'Long-lasting battery life', 'Rich, high-quality sound', 'Easy Bluetooth pairing']"
6,Consumer Goods and Retails,Electronics,RadiantRise Desk Lamp,"['Illumination', 'Modern Design', 'Energy Efficient', 'Adjustable Brightness']",The RadiantRise Desk Lamp offers sleek design and customizable lighting to brighten up your workspace.,"['Adjustable brightness for personalized lighting', 'Energy-efficient LED technology', 'Sleek and modern design complements any décor', 'Long-lasting durability']"
7,Consumer Goods and Retails,Electronics,SignalSentry Router,"['Fast', 'Secure', 'Reliable', 'Advanced', 'Coverage']","Experience blazing-fast internet with the SignalSentry Router, designed for seamless connectivity and ultimate security.","['Lightning-fast internet speeds for smooth streaming and gaming.', 'Advanced security features to protect your data and privacy.', 'Wide coverage to eliminate dead zones in your home.', 'Easy setup with a user-friendly interface.', 'Reliable connection with dual-band technology.']"
8,Consumer Goods and Retails,Electronics,AstraVision TV,"['Smart TV', '4K UHD', 'Streaming', 'Home Entertainment']","Experience breathtaking visuals and seamless streaming with the AstraVision TV, your gateway to ultimate home entertainment.","['Crystal-clear 4K UHD resolution', 'Built-in streaming apps', 'Voice control enabled', 'Slim, modern design', 'High-quality sound system']"
9,Consumer Goods and Retails,Electronics,NanoSync Keyboard,"['Wireless', 'Ergonomic', 'Backlit', 'Ultra-responsive']","Experience seamless typing with the NanoSync Keyboard, designed for modern efficiency and comfort.","['Wireless connectivity for clutter-free setup', 'Ergonomic design to reduce strain', 'Adjustable backlighting for any environment', 'Ultra-responsive keys for fast typing']"
10,Consumer Goods and Retails,Electronics,AstroGlide Mouse,"['ergonomic', 'precision', 'wireless', 'sleek', 'responsive']",The AstroGlide Mouse offers unparalleled precision and comfort for all your computing needs.,"['Ergonomic design for comfortable extended use', 'High precision tracking for accurate movements', 'Wireless connectivity for a clutter-free desk', 'Sleek design that complements any workspace']"
